Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.8809523809523809,0.5579545454545455,,0.8435466348274119,0.4776005744934082
LGBMClassifier,0.8829365079365079,0.5524147727272728,,0.8422802911118785,0.910996675491333
RandomForestClassifier,0.878968253968254,0.5501420454545455,,0.8396413685159666,0.7713096141815186
BaggingClassifier,0.8650793650793651,0.5622159090909091,,0.8373486416964677,0.21136236190795898
RidgeClassifierCV,0.873015873015873,0.5,,0.8138283562012375,0.051384687423706055
SGDClassifier,0.873015873015873,0.5,,0.8138283562012375,0.05205678939819336
LinearSVC,0.873015873015873,0.5,,0.8138283562012375,0.03171968460083008
LogisticRegression,0.873015873015873,0.5,,0.8138283562012375,0.05097031593322754
AdaBoostClassifier,0.873015873015873,0.5,,0.8138283562012375,0.392195463180542
RidgeClassifier,0.873015873015873,0.5,,0.8138283562012375,0.04832172393798828
CalibratedClassifierCV,0.873015873015873,0.5,,0.8138283562012375,0.16059470176696777
BernoulliNB,0.873015873015873,0.5,,0.8138283562012375,0.04223465919494629
SVC,0.873015873015873,0.5,,0.8138283562012375,0.4431004524230957
DummyClassifier,0.873015873015873,0.5,,0.8138283562012375,0.02991485595703125
LinearDiscriminantAnalysis,0.873015873015873,0.5,,0.8138283562012375,0.0640871524810791
GaussianNB,0.873015873015873,0.5,,0.8138283562012375,0.033112525939941406
QuadraticDiscriminantAnalysis,0.8690476190476191,0.49772727272727274,,0.8118491557982004,0.0386965274810791
PassiveAggressiveClassifier,0.8611111111111112,0.49318181818181817,,0.8078654347311064,0.03705191612243652
KNeighborsClassifier,0.8591269841269841,0.49204545454545456,,0.8068641900018634,0.14298367500305176
LabelSpreading,0.8015873015873016,0.5525568181818181,,0.8015873015873016,0.37834596633911133
LabelPropagation,0.8015873015873016,0.5525568181818181,,0.8015873015873016,0.2816162109375
DecisionTreeClassifier,0.7876984126984127,0.5579545454545455,,0.7947551542852519,0.0500791072845459
ExtraTreeClassifier,0.7817460317460317,0.5345170454545455,,0.7871641011144519,0.03611183166503906
Perceptron,0.7380952380952381,0.5829545454545455,,0.7677018633540372,0.042276620864868164
NearestCentroid,0.5853174603174603,0.5622159090909091,,0.6545851542419223,0.0421900749206543
